plant_id,scientific_name,common_name,family,vernacular_names,medicinal_system,distribution_region,medicinal_use,parts_used,habit,nmpb_med_system_tag,nmpb_api_sanskrit_names,bsi_herbarium_uses_url,source_reference,plant_match_confidence,is_synthetic,source_bsi_s_no,source_nmpb_s_no
PLANT-0001,Abelmoschus esculentus (L.) Moench,"Bhindi, Bhindi tori",MALVACEAE,"Bhindi, Bhindi tori; Bhendi",Ayurveda,,,Fruit (Seed),Shrub,AFU,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003881&column=szBarcode,BSI+NMPB,HIGH,False,1,1
PLANT-0002,Abelmoschus ficulneus (L.) Wight & Arn.,Ran Bhendi,MALVACEAE,Ran Bhendi; Kattu vendai,Ayurveda,,,Fruit (Seed),Shrub,AF,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003882&column=szBarcode,BSI+NMPB,HIGH,False,2,2
PLANT-0003,Abelmoschus manihot (L.) Medik.,"Jangli Bhindi, Kantalo Bhendo (Guj.)",MALVACEAE,"Jangli Bhindi, Kantalo Bhendo (Guj.)",,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003879&column=szBarcode,BSI,SOURCE_ONLY,False,3,
PLANT-0004,Abelmoschus moschatus Medik.,"Muskdana, Kasturi dana",MALVACEAE,"Muskdana, Kasturi dana; Muskdana,; Latakasturi; Kasturilatika",Ayurveda,,,Fruit (Seed),Shrub,AFU,Kasturilatika,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003878&column=szBarcode,BSI+NMPB,HIGH,False,4,3
PLANT-0005,Abies pindrow (Royle ex D.Don) Royle,"Granthiparna,; Talisa",PINACEAE,"Granthiparna,; Talisa",Ayurveda,,,Leaf,Tree,A,,,NMPB,SOURCE_ONLY,False,,4
PLANT-0006,Abies spectabilis (D. Don) Spach.,"Talish patra, Gobra salla (Nepal)",PINACEAE,"Talish patra, Gobra salla (Nepal); Talispatra; Talisa",Ayurveda,,,Leaf,Tree,A,Talisa,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009739&column=szBarcode,BSI+NMPB,HIGH,False,5,5
PLANT-0007,Abroma agusta (L.) L.f.,Ulatkambal,STERCULIACEAE,Ulatkambal,,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003861&column=szBarcode,BSI,SOURCE_ONLY,False,6,
PLANT-0008,Abrus precatorius L.,"Ratti, Ghungchi",FABACEAE,"Ratti, Ghungchi; Chirmati,; Chinnoti,; Gundumani; Gunja",Ayurveda,,,"Root,; Fruit (Seed)",Climber,AFHSTU,Gunja,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003654&column=szBarcode,BSI+NMPB,HIGH,False,7,6
PLANT-0009,Abutilon hirtum (Lam.) Sweet,Barakanghi,MALVACEAE,Barakanghi,,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003898&column=szBarcode,BSI,SOURCE_ONLY,False,8,
PLANT-0010,Abutilon indicum (L.) Sweet,"Kanghi, Kakahi",MALVACEAE,"Kanghi, Kakahi; Tutti; Atibala",Ayurveda,,,"Leaf, Root",Shrub,AFSTU,Atibala,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003895&column=szBarcode,BSI+NMPB,HIGH,False,9,7
PLANT-0011,Abutilon pannosum (Forst.) Schlect.,Kakrai,MALVACEAE,Kakrai,,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003896&column=szBarcode,BSI,SOURCE_ONLY,False,10,
PLANT-0012,Abutilon theophrastii Medik.,Indian Mallow (Eng.),MALVACEAE,Indian Mallow (Eng.),,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003897&column=szBarcode,BSI,SOURCE_ONLY,False,11,
PLANT-0013,Acacia caesia (L.) Willd.,"Incha, Indu,; Singapore; pattai",MIMOSACEAE,"Incha, Indu,; Singapore; pattai; Khadira",Ayurveda,,,Bark (Stem),Shrub,AF,Khadira,,NMPB,SOURCE_ONLY,False,,8
PLANT-0014,Acacia catechu (L.f.) Willd.,Khair,MIMOSACEAE,Khair; Katha,Ayurveda,,,"Bark (Stem),; Wood; (Heartwood)",Tree,AFSTU,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003537&column=szBarcode,BSI+NMPB,HIGH,False,12,9
PLANT-0015,Acacia chundra (Roxb. ex Rottler) Willd.,Khadir,MIMOSACEAE,Khadir; Names,Ayurveda,,,Wood,Tree,ATag **,Names,,NMPB,SOURCE_ONLY,False,,10
PLANT-0016,Acacia farnesiana (L.) Willd.,Vilayati kikar,MIMOSACEAE,Vilayati kikar; Irmed,Ayurveda,,,Bark (Stem),Tree,AFS,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003548&column=szBarcode,BSI+NMPB,HIGH,False,13,11
PLANT-0017,Acacia jacquemontii Benth.,"Kikar, Babul (Punjab)",MIMOSACEAE,"Kikar, Babul (Punjab)",,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003539&column=szBarcode,BSI,SOURCE_ONLY,False,14,
PLANT-0018,Acacia leucophloea (Roxb.) Willd.,"Safed kikar, Arimeda",MIMOSACEAE,"Safed kikar, Arimeda",,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003540&column=szBarcode,BSI,SOURCE_ONLY,False,15,
PLANT-0019,Acacia modesta Wall.,Phulai (Punjab),MIMOSACEAE,Phulai (Punjab),,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003532&column=szBarcode,BSI,SOURCE_ONLY,False,16,
PLANT-0020,Acacia nilotica (L.) Willd. ex Delile,"Kirkar, Babula",MIMOSACEAE,"Kirkar, Babula; Babul, Keekar; Babbula",Ayurveda,,,"Gum, Bark; (Stem)",Tree,AS,Babbula,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003542&column=szBarcode,BSI+NMPB,HIGH,False,17,12
PLANT-0021,Acacia pennata (L.) Willd.,"Aila, Biswal",MIMOSACEAE,"Aila, Biswal",,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003528&column=szBarcode,BSI,SOURCE_ONLY,False,18,
PLANT-0022,Acacia rugata (Lam.) Merr.,"Kochi, Ritha",MIMOSACEAE,"Kochi, Ritha",,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003535&column=szBarcode,BSI,SOURCE_ONLY,False,19,
PLANT-0023,Acacia senegal (L.) Willd.,Goradio-babul (Guj.),MIMOSACEAE,Goradio-babul (Guj.),,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003534&column=szBarcode,BSI,SOURCE_ONLY,False,20,
PLANT-0024,Acacia sinuata (Lour.) Merr.; [ = A. concinna (Willd.) DC.],Chikakai; (Shikakai),MIMOSACEAE,Chikakai; (Shikakai),Ayurveda,,,Fruit,Climber,AF,,,NMPB,SOURCE_ONLY,False,,13
PLANT-0025,Acacia torta (Roxb.) Craib,Aila,MIMOSACEAE,Aila,,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003536&column=szBarcode,BSI,SOURCE_ONLY,False,21,
PLANT-0026,Acalypha fruticosa Forsk.,Chinniaka (Tel.),EUPHORBIACEAE,Chinniaka (Tel.); Cinni,,,,Leaf,Shrub,FS,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008970&column=szBarcode,BSI+NMPB,HIGH,False,22,14
PLANT-0027,Acalypha indica L.,"Kuppi, Khokli",EUPHORBIACEAE,"Kuppi, Khokli; Khokali,; Arishtamanjari",Ayurveda,,,Whole Plant,Herb,AFHS,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008971&column=szBarcode,BSI+NMPB,HIGH,False,23,15
PLANT-0028,Acalypha racemosa Wall. ex Bailley,Valia-kuppameni (Finnish),EUPHORBIACEAE,Valia-kuppameni (Finnish),,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008969&column=szBarcode,BSI,SOURCE_ONLY,False,24,
PLANT-0029,Acampe papillosa (Lindl.) Lindl.,Alasyakampa (Tel.),ORCHIDACEAE,Alasyakampa (Tel.),,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003156&column=szBarcode,BSI,SOURCE_ONLY,False,25,
PLANT-0030,Acanthus illicifolius L.,Hargoza,ACANTHACEAE,Hargoza,,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009055&column=szBarcode,BSI,SOURCE_ONLY,False,26,
PLANT-0031,Achillea millefolium L.,"Gandana, Roojamari (Kan.)",ASTERACEAE,"Gandana, Roojamari (Kan.); Brinjasif",,,,Fruit (Seed),Herb,HSUW,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013619&column=szBarcode,BSI+NMPB,HIGH,False,27,16
PLANT-0032,Achyranthes aspera L.,Latjira,AMARANTHACEAE,Latjira; Apamarga,Ayurveda,,,"Leaf, Fruit; (Seed),; Whole Plant",Herb,AFHSTU,Apamarga,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008913&column=szBarcode,BSI+NMPB,HIGH,False,28,17
PLANT-0033,Achyranthes bidentata Blume,Apamarga (Assam),AMARANTHACEAE,Apamarga (Assam); Apamarga,Ayurveda,,,Whole Plant,Herb,AF,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008912&column=szBarcode,BSI+NMPB,HIGH,False,29,18
PLANT-0034,Aconitum balfourii Stapf,Gobari (West Nepal),RANUNCULACEAE,Gobari (West Nepal); Vatsnabha,Ayurveda,,,Root,Herb,A,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009929&column=szBarcode,BSI+NMPB,HIGH,False,30,19
PLANT-0035,Aconitum bisma (Buch. -Ham.) Rapaics,Bikhima,RANUNCULACEAE,Bikhima; Bikhma,Ayurveda,,,Root,Herb,AF,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009935&column=szBarcode,BSI+NMPB,HIGH,False,31,20
PLANT-0036,Aconitum chasmanthum Holmes ex Stapf,"Bisha, Ban-bal-nag (Kashmir)",RANUNCULACEAE,"Bisha, Ban-bal-nag (Kashmir); Vatsnabha; Vatsanabha",Ayurveda,,,Root,Herb,AH,Vatsanabha,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009930&column=szBarcode,BSI+NMPB,HIGH,False,32,21
PLANT-0037,Aconitum deinorrhizum Stapf,Vatsnabha,RANUNCULACEAE,Vatsnabha,Ayurveda,,,Root,Herb,A,,,NMPB,SOURCE_ONLY,False,,22
PLANT-0038,Aconitum falconeri Stapf,Bis (Gharwal),RANUNCULACEAE,Bis (Gharwal); Vatsnabha,Ayurveda,,,Root,Herb,A,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009927&column=szBarcode,BSI+NMPB,HIGH,False,33,23
PLANT-0039,Aconitum ferox Wall. ex Ser.,"Vachhnag, Atis",RANUNCULACEAE,"Vachhnag, Atis",Ayurveda,,,Root,Herb,AFHSU,,,NMPB,SOURCE_ONLY,False,,24
PLANT-0040,Aconitum heterophyllum Wall. ex Royle,Atis,RANUNCULACEAE,"Atis; Atis, Aconite,; Ativish; Ativisa",Ayurveda,,,Root (Tuber),Herb,AFSTU,Ativisa,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009938&column=szBarcode,BSI+NMPB,HIGH,False,34,25
PLANT-0041,Aconitum laciniatum (Bruhl) Stapf,Kalo bikhoma (Sikkim),RANUNCULACEAE,Kalo bikhoma (Sikkim); Kalo Bikhmo,,,,Root,Herb,F,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009933&column=szBarcode,BSI+NMPB,HIGH,False,35,26
PLANT-0042,Aconitum novoluridum Munz,Mahoor,RANUNCULACEAE,Mahoor,,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009928&column=szBarcode,BSI,SOURCE_ONLY,False,36,
PLANT-0043,Aconitum spicatum (Bruhl) Stapf,Bikh or Bish (Nepal & Sikkim),RANUNCULACEAE,Bikh or Bish (Nepal & Sikkim); Bish,,,,Root,Herb,F,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009934&column=szBarcode,BSI+NMPB,HIGH,False,37,27
PLANT-0044,Aconitum violaceum Jacq. Ex Stapf,Tilia Kachang (Sutlej Basin),RANUNCULACEAE,Tilia Kachang (Sutlej Basin); Mitha Telia,,,,Root,Herb,F,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009931&column=szBarcode,BSI+NMPB,HIGH,False,38,28
PLANT-0045,Acorus calamus L.,"Bach, Gora-bach",ARACEAE,"Bach, Gora-bach; Vach, Vaj,; Calamus roots,; Vekhand; Vaca; Names",Ayurveda,,,Root; (Rhizome),Herb,AFSTUWTag **,Vaca; Names,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003221&column=szBarcode,BSI+NMPB,HIGH,False,39,29
PLANT-0046,Acronychia pedunculata (L.) Miq.,Paowlay (Nepal),RUTACEAE,Paowlay (Nepal),,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009965&column=szBarcode,BSI,SOURCE_ONLY,False,40,
PLANT-0047,Actaea spicata L.,Vishaphala (Kan.),RANUNCULACEAE,Vishaphala (Kan.),,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009925&column=szBarcode,BSI,SOURCE_ONLY,False,41,
PLANT-0048,Actiniopteris dichotoma Mett.,Mayurpankhi,ACTINIOPTERI-,Mayurpankhi,Ayurveda,,,Whole Plant,Herb,AS,,,NMPB,SOURCE_ONLY,False,,30
PLANT-0049,Actiniopteris radiata(Swartz) Link,"Morpankhi, Morshikha (Local names)",ACTINIOPTERIDACEAE,"Morpankhi, Morshikha (Local names)",,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003275&column=szBarcode,BSI,SOURCE_ONLY,False,42,
PLANT-0050,Actinodaphne hookeri Meissn.,Tudambo (Oriya),LAURACEAE,Tudambo (Oriya),,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008845&column=szBarcode,BSI,SOURCE_ONLY,False,43,
PLANT-0051,Adansonia digitata L.,"Gorak, Amli",BOMBACACEAE,"Gorak, Amli; Gorakimli",Ayurveda,,,Fruit,Tree,AFSU,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003871&column=szBarcode,BSI+NMPB,HIGH,False,44,31
PLANT-0052,Adenanthera pavonia L.,"Barigumchi, Kunchandana (Sans.)",MIMOSACEAE,"Barigumchi, Kunchandana (Sans.)",,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003924&column=szBarcode,BSI,SOURCE_ONLY,False,45,
PLANT-0053,Adenanthera pavonina L.,"Kamboji,; Tamaraka",MIMOSACEAE,"Kamboji,; Tamaraka",Ayurveda,,,Wood; (Heartwood),Tree,AFS,,,NMPB,SOURCE_ONLY,False,,32
PLANT-0054,Adenia hondala (Gaertn.) W.J. de Wilde,Vidari,PASSIFLORACEAE,Vidari,,,,Root (Tubers) AF,Climber,,,,NMPB,SOURCE_ONLY,False,,33
PLANT-0055,Adenia wightiana (Wall. ex Wight & Arn.) Engl.,Perumkorattaikodi (Tam.),PASSIFLORACEAE,Perumkorattaikodi (Tam.),,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013800&column=szBarcode,BSI,SOURCE_ONLY,False,46,
PLANT-0056,Adenostemma lavenia (L.) Kuntze,Jangli-jira,ASTERACEAE,Jangli-jira,,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013621&column=szBarcode,BSI,SOURCE_ONLY,False,47,
PLANT-0057,Adhatoda beddomei C.B.Clarke; [= Justicia beddomei (C.B.Clarke),Vasa,ACANTHACEAE,Vasa,Ayurveda,,,Leaf,Shrub,A,,,NMPB,SOURCE_ONLY,False,,34
PLANT-0058,Adhatoda zeylanica Medik.; [ = A. vasica Nees; Justicia adhatoda L.],Adusa,ACANTHACEAE,Adusa; Vasa,Ayurveda,,,Leaf,Shrub,AFHS,Vasa,,NMPB,SOURCE_ONLY,False,,35
PLANT-0059,Adiantum capillus-veneris L.,"Hansraj, Mubaraka",ADIANTACEAE,"Hansraj, Mubaraka; Hanraj,; Parshoshan",,,,"Whole Plant,; Leaf",Herb,FU,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003282&column=szBarcode,BSI+NMPB,HIGH,False,48,36
PLANT-0060,Adiantum caudatum L.,Mayurshikha (Sans.),ADIANTACEAE,Mayurshikha (Sans.),,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003284&column=szBarcode,BSI,SOURCE_ONLY,False,49,
PLANT-0061,Adiantum philippense L.,Kalijhant,ADIANTACEAE,Kalijhant; Hansraj; Hamsapadi,Ayurveda,,,Whole Plant,Herb,AF,Hamsapadi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003285&column=szBarcode,BSI+NMPB,HIGH,False,50,37
PLANT-0062,Adiantum venustum D.Don,Mayir sikki (Tam.),ADIANTACEAE,Mayir sikki (Tam.); Hansraj,,,,Whole Plant,Herb,F,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003279&column=szBarcode,BSI+NMPB,HIGH,False,51,38
PLANT-0063,Adonis aestivalis L.,Summer Pheasant's Eye (Eng.),RANUNCULACEAE,Summer Pheasant's Eye (Eng.),,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009952&column=szBarcode,BSI,SOURCE_ONLY,False,52,
PLANT-0064,Aegle marmelos (L.) Corr.,Bel,RUTACEAE,"Bel; Bael, Belgiri,; Bilva, Vilvam; Bilva",Ayurveda,,,"Leaf, Fruit,; Bark (Root,; Stem)",Tree,AFHSTU,Bilva,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013488&column=szBarcode,BSI+NMPB,HIGH,False,53,39
PLANT-0065,Aerva javanica (Burm.f.) Juss. ex Schult.,Bur (Guj.),AMARANTHACEAE,Bur (Guj.),,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008910&column=szBarcode,BSI,SOURCE_ONLY,False,54,
PLANT-0066,Aerva lanata (L.) Juss.,"Gorakhganja, Chaya (Beng.)",AMARANTHACEAE,"Gorakhganja, Chaya (Beng.); Cheroola; Pattura",Ayurveda,,,Whole Plant,Herb,AFS,Pattura,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008911&column=szBarcode,BSI+NMPB,HIGH,False,55,40
PLANT-0067,Aesculus indica Colebr. ex Camb.,Pangar,HIPPOCASTANACEAE,"Pangar; Indian Horse; Chesnut,; Bankhor; pangar",,,,"Fruit (Fruit,; Seed)",Tree,F,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003574&column=szBarcode,BSI+NMPB,HIGH,False,56,41
PLANT-0068,Aganosma caryophyllata G.Don,Maalati,APOCYNACEAE,Maalati,,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009282&column=szBarcode,BSI,SOURCE_ONLY,False,57,
PLANT-0069,Agave americana Blanco,"Bans-keora, Kantala",AMARYLLIDACEAE,"Bans-keora, Kantala",,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003118&column=szBarcode,BSI,SOURCE_ONLY,False,58,
PLANT-0070,Agave angustifolia Haw.,Kantala (Sans.),AMARYLLIDACEAE,Kantala (Sans.),,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003123&column=szBarcode,BSI,SOURCE_ONLY,False,60,
PLANT-0071,Agave sisalana Perr. ex Engelm.,Sisal (Eng.),AMARYLLIDACEAE,Sisal (Eng.),,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003120&column=szBarcode,BSI,SOURCE_ONLY,False,61,
PLANT-0072,Ageratum conyzoides L.,Uchunti (Beng.),ASTERACEAE,"Uchunti (Beng.); Visamustih,; Goat weed,; Visadodi",Ayurveda,,,Whole Plant,Herb,AFS,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013622&column=szBarcode,BSI+NMPB,HIGH,False,62,42
PLANT-0073,Aglaia elaeagnoidea (Juss.) Benth.,"Gandha priyangu, Yerraaduga (Tel.)",MELIACEAE,"Gandha priyangu, Yerraaduga (Tel.); Priyangu; Names",Ayurveda,,,Fruit,Tree,AFTag **,Names,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009897&column=szBarcode,BSI+NMPB,HIGH,False,63,43
PLANT-0074,Aglaia odorata Lour.,"Pishthparni,; Pithavan",MELIACEAE,"Pishthparni,; Pithavan",,,,Leaf,Tree,F,,,NMPB,SOURCE_ONLY,False,,44
PLANT-0075,Agropyron repens (L.) Beauv.,"Couch grass, Dog grass (Eng.)",POACEAE,"Couch grass, Dog grass (Eng.)",,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003184&column=szBarcode,BSI,SOURCE_ONLY,False,64,
PLANT-0076,Ailanthus altissima (Mill.) Swingle,Tree of Heaven (Eng.),SIMAROUBACEAE,Tree of Heaven (Eng.),,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013486&column=szBarcode,BSI,SOURCE_ONLY,False,65,
PLANT-0077,Ailanthus excelsa Roxb.,"Arlu, Maruk",SIMAROUBACEAE,"Arlu, Maruk; Aralu; Araluka",Ayurveda,,,Root,Tree,AFS,Araluka,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013484&column=szBarcode,BSI+NMPB,HIGH,False,66,45
PLANT-0078,Ailanthus triphysa (Dennst.) Alston,Guggul Dhup,SIMAROUBACEAE,Guggul Dhup; Guggula Dhup,Ayurveda,,,Bark (Stem),Tree,AF,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013482&column=szBarcode,BSI+NMPB,HIGH,False,67,46
PLANT-0079,Ainsliaea aptera DC.,Sathjalani,ASTERACEAE,Sathjalani,,,,Root,Herb,F,,,NMPB,SOURCE_ONLY,False,,47
PLANT-0080,Ajuga bracteosa Wall. ex Benth.,Nilkanthi (Sans.),LAMIACEAE,Nilkanthi (Sans.); Nilkanti,,,,Whole Plant,Herb,F,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008885&column=szBarcode,BSI+NMPB,HIGH,False,68,48
PLANT-0081,Alangium salvifolium (L.f.) Wang.,"Akola, Dhera",ALANGIACEAE,"Akola, Dhera; Ankodah,; Dirghakilaka; Ankolah",Ayurveda,,,"Leaf, Root",Tree,AFST,Ankolah,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013767&column=szBarcode,BSI+NMPB,HIGH,False,69,49
PLANT-0082,Albizia amara (Roxb.) Boivin,Krishnasirish,MIMOSACEAE,Krishnasirish,Ayurveda,,,Leaf,Tree,AFS,,,NMPB,SOURCE_ONLY,False,,50
PLANT-0083,Albizia lebbeck (L.) Benth.,"Vaakaveru,; Shirish",MIMOSACEAE,"Vaakaveru,; Shirish; Sirisa",Ayurveda,,,"Leaf, Bark; (Stem)",Tree,AFSU,Sirisa,,NMPB,SOURCE_ONLY,False,,51
PLANT-0084,Albizia marginata Merr.,Sirisah,MIMOSACEAE,Sirisah,Ayurveda,,,Bark (Stem),Tree,A,,,NMPB,SOURCE_ONLY,False,,52
PLANT-0085,Albizia odoratissima (L.f.) Benth.,Sirisa,MIMOSACEAE,Sirisa,Ayurveda,,,Bark (Stem),Tree,AFS,,,NMPB,SOURCE_ONLY,False,,53
PLANT-0086,Albizzia amara (Roxb.) Boivin,Lallei (Mar.),MIMOSACEAE,Lallei (Mar.),,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003553&column=szBarcode,BSI,SOURCE_ONLY,False,70,
PLANT-0087,Albizzia lebbeck (L.) Willd.,Siris,MIMOSACEAE,Siris,,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003552&column=szBarcode,BSI,SOURCE_ONLY,False,71,
PLANT-0088,Albizzia odoratissima (L.f.) Benth.,Kala siris,MIMOSACEAE,Kala siris,,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003557&column=szBarcode,BSI,SOURCE_ONLY,False,72,
PLANT-0089,Aleurites mollucana Willd.,Candle Nut Tree (Eng.),EUPHORBIACEAE,Candle Nut Tree (Eng.),,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008968&column=szBarcode,BSI,SOURCE_ONLY,False,73,
PLANT-0090,Alhagi pseudalhagi (M.Bieb.) Desv.,"Durlabha,; Yavasaka",FABACEAE,"Durlabha,; Yavasaka; Yavasaka",Ayurveda,,,Whole Plant,Shrub,ASTU,Yavasaka,,NMPB,SOURCE_ONLY,False,,54
PLANT-0091,Alhagi pseudoalhagi (Bieb.) Desv.,"Bharbharra, Jawasa",FABACEAE,"Bharbharra, Jawasa",,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003686&column=szBarcode,BSI,SOURCE_ONLY,False,74,
PLANT-0092,Allamanda cathartica L.,Harkakra (Beng.),APOCYNACEAE,Harkakra (Beng.),,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009265%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&column=szBarcode,BSI,SOURCE_ONLY,False,76,
PLANT-0093,Allium ampeloprasum L.,"Leek,; Levant garlic",LILIACEAE,"Leek,; Levant garlic",,,,Root; (Bulb),Herb,FW,,,NMPB,SOURCE_ONLY,False,,55
PLANT-0094,Allium cepa L.,Piyaz,LILIACEAE,Piyaz; Onion,Ayurveda,,,Root (Bulb),Herb,AFHS-TUW,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003095&column=szBarcode,BSI+NMPB,HIGH,False,77,56
PLANT-0095,Allium macleanii Baker,Salabmisri,LILIACEAE,Salabmisri,,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003093&column=szBarcode,BSI,SOURCE_ONLY,False,78,
PLANT-0096,Allium sativum L.,"Lasan,; Velathulli",LILIACEAE,"Lasan,; Velathulli; Lasuna",Ayurveda,,,Root,Herb,AFHS-TUW,Lasuna,,NMPB,SOURCE_ONLY,False,,57
PLANT-0097,Allium stracheyi Baker,Jambu,LILIACEAE,Jambu,Ayurveda,,,Root,Herb,A,,,NMPB,SOURCE_ONLY,False,,58
PLANT-0098,Alnus nepalensis D.Don,Utis,BETULACEAE,Utis,,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008926&column=szBarcode,BSI,SOURCE_ONLY,False,79,
PLANT-0099,Alnus nitida Endl.,Utis,BETULACEAE,Utis,,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008927&column=szBarcode,BSI,SOURCE_ONLY,False,80,
