plant_id,scientific_name,common_name,family,vernacular_names,medicinal_system,distribution_region,medicinal_use,parts_used,habit,nmpb_med_system_tag,nmpb_api_sanskrit_names,bsi_herbarium_uses_url,source_reference,plant_match_confidence,is_synthetic,source_bsi_s_no,source_nmpb_s_no
PLANT-1133,Indigofera linifolia (L.f.) Retz.,Torki,FABACEAE,Torki,,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003423&column=szBarcode,BSI,SOURCE_ONLY,False,938,
PLANT-1134,Indigofera linnaei Ali,Pandarphali,FABACEAE,Pandarphali,,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003424&column=szBarcode,BSI,SOURCE_ONLY,False,939,
PLANT-1135,Indigofera oblongifolia Forsk.,Jhillan (Sans.),FABACEAE,Jhillan (Sans.),,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003425&column=szBarcode,BSI,SOURCE_ONLY,False,940,
PLANT-1136,Indigofera suffruticosa Mill.,Vilaiti Nil,FABACEAE,Vilaiti Nil,,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003412&column=szBarcode,BSI,SOURCE_ONLY,False,941,
PLANT-1137,Indigofera tinctoria L.,"Nil, Nilika",FABACEAE,"Nil, Nilika; Akika, Avuri; Nili",Ayurveda,,,"Fruit, Leaf,; Root",Shrub,AFHSTU,Nili,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003415&column=szBarcode,BSI+NMPB,HIGH,False,942,504
PLANT-1138,Indigofera trifoliata L.,Jangli-methi,FABACEAE,Jangli-methi,,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008592&column=szBarcode,BSI,SOURCE_ONLY,False,943,
PLANT-1139,Indigofera trita L.f.,Vekhario (Guj.),FABACEAE,Vekhario (Guj.),,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003427&column=szBarcode,BSI,SOURCE_ONLY,False,944,
PLANT-1140,Inula graveolens Desf.,Stinkwort (Eng.),ASTERACEAE,Stinkwort (Eng.),,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009300&column=szBarcode,BSI,SOURCE_ONLY,False,945,
PLANT-1141,Inula racemosa Hook.f.,"Pushkarmool,; Pokharmool",ASTERACEAE,"Pushkarmool,; Pokharmool; Puskara",Ayurveda,,,Root,Herb,AFT,Puskara,,NMPB,SOURCE_ONLY,False,,505
PLANT-1142,Inula recemosa Hook.f.,Poshkar (Kashmir),ASTERACEAE,Poshkar (Kashmir),,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009370&column=szBarcode,BSI,SOURCE_ONLY,False,946,
PLANT-1143,Inula royleana DC.,Pushkarmool,ASTERACEAE,Pushkarmool,Ayurveda,,,Root,Herb,A,,,NMPB,SOURCE_ONLY,False,,506
PLANT-1144,Ipomoea alba L.,Dudhiakalmi,CONVOLVULACEAE,Dudhiakalmi,,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009810&column=szBarcode,BSI,SOURCE_ONLY,False,947,
PLANT-1145,Ipomoea aquatica Forsk.,"Kalmisag, Karmi",CONVOLVULACEAE,"Kalmisag, Karmi",,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009825&column=szBarcode,BSI,SOURCE_ONLY,False,948,
PLANT-1146,Ipomoea batatas (L.) Lam.,Mitha alu,CONVOLVULACEAE,Mitha alu,,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009808&column=szBarcode,BSI,SOURCE_ONLY,False,949,
